"n","vare","B","seed","pi.cc","ghat.N.1","ghat.N.2","ghat.N.3","ghat.O.1","ghat.O.2","ghat.O.3","ghat.C.1","ghat.C.2","ghat.C.3","stde.N.1","stde.N.2","stde.N.3","stde.O.1","stde.O.2","stde.O.3","stde.C.1","stde.C.2","stde.C.3"
2000,0.05,30,3000001,0.05,0.364898490708359,0.505189147904645,0.645612011455111,0.368112985396065,0.524103313185411,0.680270816601269,0.328137082845731,0.554407399025204,0.780768019650777,0.0576217059902661,0.0403153029235487,0.05537955875101,0.0693336573429656,0.0426414139830767,0.051453596325012,0.0849337265428382,0.0471201666902741,0.0720176242396587
2000,0.05,30,3000001,0.1,0.403632040700439,0.517185032818765,0.630892699114754,0.354215763963951,0.526036847709294,0.698008196011919,0.434822712369416,0.568828259397835,0.702913682964084,0.0442033740681859,0.0303170870404342,0.0518517838789807,0.0537388149176291,0.0325090116695265,0.0473368926674249,0.0571007055945565,0.0367159353360675,0.0685830428037173
2000,0.05,30,3000001,0.25,0.410772310560305,0.492527396272371,0.574343419932167,0.35158240888728,0.490729607121054,0.629925359599699,0.396552225177608,0.508048454228672,0.619601943954817,0.0271433908979576,0.0192342549962846,0.0297170723997417,0.0314283703979202,0.0199751620496951,0.0324542083014473,0.0372483271880221,0.0231232572569445,0.0404377888939437
2000,0.05,30,3000002,0.05,0.42175456004233,0.516182463939783,0.610650316616221,0.412831738208834,0.528612659101428,0.644361876256193,0.413793628245402,0.541353192024101,0.668865446606547,0.0516114701052515,0.0390977629141977,0.0549843251868143,0.0613069444601431,0.0411186958478551,0.0610315498690178,0.0737483879217438,0.0443666742165713,0.0723928127381366
2000,0.05,30,3000002,0.1,0.426139976143584,0.518579823162927,0.611171914231357,0.437997619353008,0.539607373688319,0.641263237128252,0.427851736115553,0.542085469415336,0.656488344305041,0.0393817767815501,0.0296277787925438,0.0429109422110092,0.0472550503607576,0.0306776551625347,0.0473819015071531,0.0593475103375364,0.0349451242656066,0.0552286260991887
2000,0.05,30,3000002,0.25,0.444025384556563,0.509070849460654,0.574086264345152,0.433994453342425,0.509380114218623,0.58469312071086,0.427378144079563,0.518563260000179,0.609647586669775,0.0272709120028824,0.0199863828373994,0.0293808378929567,0.0313840675638784,0.0216520216120039,0.0352079359991371,0.0389716912000918,0.0235299524377308,0.0380754043092056
2000,0.05,30,3000003,0.05,0.38441681197377,0.49455320452184,0.604870161273306,0.370592746232562,0.519371036324807,0.668264072886123,0.371899060338658,0.513020300484175,0.654177599335937,0.0533722773480334,0.0414439461018576,0.0586891054503901,0.0634308309825761,0.0421984498355681,0.0636803464035749,0.0775297225425924,0.0523723791061124,0.0780373392747487
2000,0.05,30,3000003,0.1,0.432324731176899,0.487648888809632,0.543147015021015,0.435517266677204,0.501981690212023,0.568558543487509,0.448498746310299,0.503905742050582,0.559570801780746,0.0451469452723691,0.0325106000189497,0.0510447791219329,0.0582149722437805,0.0345347652096739,0.0620890905577448,0.0726044599512714,0.044110117350879,0.0778249933395019
2000,0.05,30,3000003,0.25,0.418576756029302,0.490806602931967,0.563131098253194,0.412501883271778,0.501927044871504,0.591343037959345,0.424664512264005,0.505494229385077,0.586455609970352,0.0320894858120698,0.0221137472580957,0.0344728304732443,0.0393734665609026,0.0227337642242172,0.0425082429443194,0.0528692523654821,0.0322134551305165,0.0574088913453716
2000,0.05,30,3000004,0.05,0.49917468992196,0.494880232442141,0.490508984226815,0.523368754794496,0.517388452425541,0.511367042505253,0.471571616077758,0.482826773967926,0.494065829869017,0.0583830574335613,0.0390957085922738,0.0545778661249371,0.0696172209994923,0.0430001732393328,0.0683113029010416,0.0926411888744063,0.0418247056516282,0.0925223092557742
2000,0.05,30,3000004,0.1,0.459704724468962,0.487417053059887,0.515210099908349,0.458938337792799,0.498461135856585,0.53811528743212,0.455514271194966,0.488265544059865,0.52124336839039,0.0425271705410506,0.0291266941118408,0.0431061974434198,0.0510395130537384,0.0322275207898579,0.0551121854474651,0.0621017594292841,0.0335555806813163,0.0652948633029928
2000,0.05,30,3000004,0.25,0.433009891495759,0.499849142553087,0.566807032147479,0.443395564867505,0.506275549702609,0.569341479433166,0.418081920779446,0.507641382619061,0.597393483927712,0.0282519723706041,0.0200823108405313,0.030799858149905,0.0333150765878391,0.0215042129437339,0.0348174492776316,0.0404121768897799,0.0238330209712409,0.0464461838780261
2000,0.05,30,3000005,0.05,0.514841801676967,0.563631762378073,0.612408252195632,0.49936059769321,0.579397106036864,0.659365170728275,0.54692785222924,0.605116370515761,0.663271551367368,0.0478744826222449,0.0341491077654538,0.0513684635586434,0.0563822200235351,0.0378964235032093,0.0548922118611874,0.0562764865957655,0.0382901830734717,0.0639159034828941
2000,0.05,30,3000005,0.1,0.438895546021411,0.54297859822744,0.647108972926151,0.403750162897878,0.531397383150357,0.659090830040365,0.454722137522777,0.58369655006393,0.712719484812861,0.0346865661605459,0.0264756899888063,0.0381795695545724,0.0396375955100881,0.0314627620623293,0.0453425659835148,0.0424760699498393,0.0299197626604547,0.0481600645862609
2000,0.05,30,3000005,0.25,0.409705972381617,0.500304611831547,0.590906601776018,0.378177280456286,0.488280168435595,0.598382500578499,0.395572661475915,0.510642763410838,0.625666051755673,0.0253587698449843,0.0187032869107435,0.0271178993048094,0.0274620117180852,0.0201959046502576,0.0300893613769605,0.0331407750015389,0.0215213084296663,0.0340228884743089
2000,0.05,30,3000006,0.05,0.372168025149544,0.488346911136909,0.604692664858809,0.326804655882539,0.484026952861713,0.641502613686252,0.33454900090933,0.507493271905453,0.680668033937538,0.0523373958071281,0.0420463593060072,0.0560479021957522,0.0586725473603515,0.041073110717439,0.0660599704758021,0.0775787601194036,0.04711892483139,0.0726313107842689
2000,0.05,30,3000006,0.1,0.38180382946661,0.505941347948003,0.630144718636562,0.328682518106467,0.496834195020382,0.665157932142154,0.349875822347105,0.551951716455698,0.754071473854224,0.0367492217666715,0.0276563342244077,0.0375226406344921,0.0431896096609421,0.0282413048371596,0.0414689186278953,0.055215570435059,0.033208305772067,0.0450492792111099
2000,0.05,30,3000006,0.25,0.394048816182665,0.494149123164738,0.594286232454488,0.358835554402563,0.499409273471844,0.640063903643075,0.352861523696205,0.528156589812223,0.703436653954696,0.0268076060720969,0.0194149074836729,0.027029967899701,0.0315692434866452,0.0205150804447924,0.0296075270219687,0.0415974479326961,0.0244462750527166,0.0384447515660144
2000,0.05,30,3000007,0.05,0.446619752626231,0.511635179818344,0.576846470032583,0.419626172860357,0.511862921381723,0.604274788406831,0.442766998846462,0.537753275999193,0.632978430409458,0.0563062085972442,0.0379179922491686,0.0541999129819022,0.0594480798634147,0.0399661376852228,0.0617182075224112,0.0787257810791383,0.0410754346721834,0.0775915478299594
